Gene;Swissprot;Mercator;NST_FT_FPKM;NST_75_FPKM;NST_55_FPKM;NST_35_FPKM;NST_AD_FPKM;NST_RH_FPKM
Xvis03_200031; Peroxidase 51 ;misc-peroxidases;2.68;0.36;0.01;0;0;65.41
Xvis03_200032; Protein SNOWY COTYLEDON 3 ;not assigned-unknown;0.67;0.43;0.34;0.17;0;1.71
Xvis03_200033; Formin_like protein 8 ;cell;4.21;1.74;1.09;0.98;0.52;9.03
Xvis03_200034; Interferon_related developmental regulator 1 ;not assigned-no ontology;35.97;39.22;50.76;61.52;63.48;15.32
Xvis03_200035; Cyclin_D5_3 ;cell-division;0.62;0;0.04;0.15;0.53;0.52
Xvis03_200036;NA;not assigned-unknown;35.33;27.02;22.01;26.89;24.85;27.98
Xvis03_200037; Dual_specificity RNA methyltransferase RlmN ;protein-synthesis;26.11;20.46;15.05;24.11;23.62;21.89
Xvis03_200038; 60S ribosomal protein L10a ;protein-synthesis;111.48;203.81;206.35;124.9;120.18;122.93
Xvis03_200039;NA;not assigned-unknown;111.48;203.81;206.35;124.9;120.18;122.93
Xvis03_200040; Adenylyl_sulfate kinase 3 ;S assimilation;0.65;0.65;0.08;0.75;1.49;4.41
Xvis03_200041; Pentatricopeptide repeat_containing protein At2g16880 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;3.04;3.94;3.13;10.55;7.53;2.89
Xvis03_200042;NA;not assigned-unknown;9.71;5.71;3.74;1.13;1.5;4.27
Xvis03_200043;NA;not assigned-unknown;3.59;2.95;2.4;2.56;2.63;5.15
Xvis03_200044;NA;not assigned-unknown;11.19;16.57;13.69;5.49;9.68;49.34
Xvis03_200045; Beta_glucosidase 22 ;misc-gluco_, galacto_ and mannosidases;4.64;6.58;5.77;0.22;0.57;0.57
Xvis03_200046; Beta_glucosidase 32 ;not assigned-unknown;125.24;257.9;181.23;43.8;43.27;18.49
Xvis03_200047;NA;misc-gluco_, galacto_ and mannosidases;125.24;257.9;181.23;43.8;43.27;18.49
Xvis03_200048;NA;not assigned-unknown;14.09;13.48;10.3;5.22;5.07;6.69
Xvis03_200049;NA;not assigned-no ontology;11.74;12.47;11.24;10.66;10.47;18.3
Xvis03_200050; LIM domain_containing protein WLIM1 ;RNA-regulation of transcription;0.35;0.51;0.11;0.13;0.43;0.04
Xvis03_200051; NADH dehydrogenase [ubiquinone] iron_sulfur protein 4, mitochondrial ;mitochondrial electron transport / ATP synthesis;48.76;56.44;52.34;25.08;25.72;52.3
Xvis03_200052;NA;not assigned-unknown;0.96;0.66;0.38;0.32;1.02;1.17
Xvis03_200054; Putative glycosyltransferase 7 ;misc-UDP glucosyl and glucoronyl transferases;0.74;0.01;0.02;0;0;0.59
Xvis03_200055; Histone deacetylase complex subunit SAP30 ;not assigned-unknown;8.92;1.3;1.18;3.01;5.4;11.18
Xvis03_200056; UPF0496 protein 1 ;not assigned-no ontology;11.03;6.98;5.54;3.69;5.28;7.79
Xvis03_200057; Protein CLT2, chloroplastic ;not assigned-unknown;10.69;76.6;54.44;39.01;26.01;4.05
Xvis03_200058; Protein YIF1B ;not assigned-no ontology;7.04;6.11;1.91;1.14;1.31;2.27
Xvis03_200059; UDP_galactose transporter 2 ;transport-sugars;11.15;11.31;9.15;3.06;4.81;14.66
Xvis03_200061; Protein indeterminate_domain 2 ;RNA-regulation of transcription;4.25;5.48;8.64;27.02;28.62;4.05
Xvis03_200062; Uncharacterized sugar kinase YeiI ;minor CHO metabolism-others;3.87;2.95;2.65;3.43;3.79;4.52
Xvis03_200063; Indole_3_pyruvate monooxygenase YUCCA6 ;misc-oxidases _ copper, flavone etc;1.12;0.01;0.02;0.03;0.16;3.16
Xvis03_200064; Outer envelope pore protein 24A, chloroplastic ;not assigned-no ontology;36.13;31.54;34.72;32.17;27.62;90.87
Xvis03_200065; Polyol transporter 5 ;transport-sugars;54.4;75.28;86.02;49.25;58.61;55.92
Xvis03_200066; Polyol transporter 5 ;transport-sugars;36.55;19.94;30.66;14.55;14.09;14.63
Xvis03_200067; Polyol transporter 5 ;transport-sugars;36.55;19.94;30.66;14.55;14.09;14.63
Xvis03_200069; Dehydrodolichyl diphosphate syntase complex subunit NUS1 ;cell;227.95;17.81;9.2;1.9;1.63;62.63
Xvis03_200070; 30S ribosomal protein S10, chloroplastic ;protein-synthesis;26.08;48.7;65.8;37.96;36.33;74.99
Xvis03_200071; tRNA (guanine_N(7)_)_methyltransferase ;not assigned-unknown;7.62;12.48;16.22;12.91;14.82;14.25
Xvis03_200072; Serine acetyltransferase 1, chloroplastic ;amino acid metabolism-synthesis;0.69;5.17;7.26;2.08;3.95;0.19
Xvis03_200074; Pentatricopeptide repeat_containing protein At4g26680, mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;5.56;5.62;5.74;8.29;7.88;7.12
Xvis03_200075;NA;not assigned-unknown;5.56;5.62;5.74;8.29;6.44;7.12
Xvis03_200076; Ubiquitin_40S ribosomal protein S27a ;protein-synthesis;163.3;212.21;179.97;97.08;87.95;175.7
Xvis03_200077;NA;not assigned-unknown;70.9;71.57;58.3;35.7;40.35;69.57
Xvis03_200078;NA;not assigned-no ontology;12.33;12.04;16.22;15.12;9.68;19.73
Xvis03_200079; tRNA_specific adenosine deaminase 2 ;;49.14;78.15;89.28;115.27;138.34;54.07
Xvis03_200080; Dual specificity protein kinase splA ;signalling-kinases;8.19;1.41;1.09;0.69;0.77;10.75
Xvis03_200081; Guanosine nucleotide diphosphate dissociation inhibitor 1 ;signalling-G_proteins;49.46;85.73;128.21;110.81;125.52;47.52
Xvis03_200082; Transcription termination factor 3, mitochondrial ;RNA-regulation of transcription;38.07;22.49;22.94;24.54;21.81;24.92
Xvis03_200083; Probable WRKY transcription factor 20 ;RNA-regulation of transcription;17.16;7.49;3.98;5.07;4.09;17.45
Xvis03_200084; Pentatricopeptide repeat_containing protein At5g64320, mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;0.75;0.61;0.33;0.41;0.28;0.53
Xvis03_200085; BTB/POZ domain_containing protein At5g48130 ;signalling-light;1.11;0.77;0.67;0.37;0.35;1.07
Xvis03_200087; Heterogeneous nuclear ribonucleoprotein 1 ;RNA-RNA binding;6.89;9.56;10.29;19.53;20.15;18.51
Xvis03_200088; Synaptotagmin_4 ;stress-abiotic;67.56;41.02;34.74;38.17;37.06;43.5
Xvis03_200089; N_acetyltransferase 9_like protein ;misc-GCN5_related N_acetyltransferase;18.14;8.33;7.43;8.23;6.99;8.03
Xvis03_200090; Cytochrome b561 and DOMON domain_containing protein At5g47530 ;hormone metabolism-auxin;18.14;8.33;7.43;8.23;6.99;8.03
Xvis03_200092; Putative MO25_like protein At5g47540 ;not assigned-no ontology-armadillo/beta_catenin repeat family protein;34.19;30.51;32.63;25.88;27.44;33.95
Xvis03_200093;NA;not assigned-unknown;247.83;83.26;119.4;23.65;56.5;530.59
Xvis03_200094; Xanthine dehydrogenase ;nucleotide metabolism-degradation;19.96;33.92;63.23;106.72;142.45;13.7
Xvis03_200095;NA;not assigned-unknown;56.28;97.23;67.46;36.57;38.86;71.32
Xvis03_200096; 60S ribosomal protein L13a_4 ;protein-synthesis;56.28;97.23;67.46;36.57;38.86;71.32
Xvis03_200098; Ninja_family protein AFP3 ;RNA-processing;0.65;5.13;4.09;1.02;0.91;0.02
Xvis03_200099; Replication protein A 70 kDa DNA_binding subunit B ;RNA-processing;0.64;6;6.37;1.11;1.09;0.05
Xvis03_200100; Phosphoserine phosphatase, chloroplastic ;amino acid metabolism-synthesis;14.93;7.72;7.33;4.45;3.4;12.61
Xvis03_200101; DnaJ homolog subfamily C member 21 ;stress-abiotic;6.04;7.19;6.28;12.5;12.73;4.69
Xvis03_200102; Ureide permease 1 ;nucleotide metabolism-degradation;49.62;30.05;21.38;8.74;12.84;8.05
Xvis03_200103; Erlin_2 ;transport;29.63;21.99;10.3;6.43;4.49;29.96
Xvis03_200104; DNA_directed RNA polymerase III subunit RPC3 ;DNA-unspecified;10.38;7.64;6;7.52;7.54;9.03
Xvis03_200105;NA;not assigned-unknown;2.5;1.45;1.45;0.78;0.67;0.55
Xvis03_200106;NA;not assigned-unknown;2.5;1.45;1.45;0.78;0.67;0.55
Xvis03_200107;NA;not assigned-no ontology;0.19;0.12;0.15;0;0;0.38
Xvis03_200108; Flavonoid 3'_monooxygenase ;secondary metabolism-flavonoids-dihydroflavonols;64.22;47.52;31.48;4.15;0.55;38.56
Xvis03_200110; Putative pentatricopeptide repeat_containing protein At1g26500 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;0.31;0.27;0.25;0.28;0.08;0.76
Xvis03_200111; Pentatricopeptide repeat_containing protein At1g26460, mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;10.11;12.05;9.75;8.04;6.12;11.58
Xvis03_203337; UDP_glycosyltransferase 72B3 ;secondary metabolism-flavonoids-dihydroflavonols;2.45;6.38;6.13;5.21;5.56;8.14
Xvis03_200114; COBW domain_containing protein 1 ;not assigned-no ontology;32.65;34.16;30.28;31.9;27.41;32.73
Xvis03_200115; Biotin carboxyl carrier protein of acetyl_CoA carboxylase 2, chloroplastic ;lipid metabolism-fatty acids;9.51;7.1;6.71;6.53;6.02;13.48
Xvis03_200116; Probable mitochondrial_processing peptidase subunit beta ;protein-targeting;30.71;50.09;61.15;79.75;64.88;38.8
Xvis03_200117; Protein TPX2 ;not assigned-unknown;1.74;1.23;1.56;6.87;5.32;0.35
Xvis03_200118; Diacylglycerol kinase 1 ;lipid metabolism-Phospholipid synthesis;18.11;37.64;46.07;37.75;42.78;11.23
Xvis03_200119; Isocitrate dehydrogenase [NAD] catalytic subunit 5, mitochondrial ;TCA/organic acid transformation;23.91;21.94;19.4;11.02;12.59;27.41
Xvis03_200120;NA;RNA-regulation of transcription;4.91;6.8;7.32;3.82;3.24;4.79
Xvis03_200121; Delta_aminolevulinic acid dehydratase, chloroplastic ;tetrapyrrole synthesis;52.42;90.19;119.66;272.31;253.87;399.55
Xvis03_200122; Membrane_anchored ubiquitin_fold protein 1 ;not assigned-unknown;52.42;90.19;119.66;272.31;253.87;399.55
Xvis03_200123; Pentatricopeptide repeat_containing protein At3g29290 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;5.11;11.12;10.79;12.45;10.71;2.91
Xvis03_200124;NA;not assigned-unknown;14.57;16.73;16.37;15.55;13.1;15.69
Xvis03_200125; tRNA (guanosine(18)_2'_O)_methyltransferase ;RNA-processing;3.32;3.57;3.06;4.04;3.14;3.02
Xvis03_200126; 26S proteasome non_ATPase regulatory subunit 10 ;cell-organisation;7.37;11.48;13.83;11.14;8.08;10.4
Xvis03_200127; Cell division topological specificity factor homolog, chloroplastic ;cell-division;30.31;30.74;23.35;13.56;12.82;61.76
Xvis03_200128; UPF0301 protein Plut_0637 ;not assigned-unknown;3.86;0.91;1.12;4.48;5.24;103.96
Xvis03_200129;NA;not assigned-unknown;8.72;5.23;3.34;1.93;1.83;5.86
Xvis03_200130; Methionine__tRNA ligase, chloroplastic/mitochondrial ;protein-aa activation;17.99;25.64;29.53;43.46;33.55;17.21
Xvis03_200131;NA;DNA-synthesis/chromatin structure;5.55;7.97;13.22;9.69;7.17;10.29
Xvis03_209755; Male_enhanced antigen 1 ;not assigned-unknown;17.05;20.01;20.72;26.06;23.83;25.53
Xvis03_200134; Formin_like protein 5 ;cell-organisation;12.3;15.29;20.11;30.62;37.39;10.76
Xvis03_200135; Probable protein S_acyltransferase 22 ;RNA-regulation of transcription;0.11;0;0;0;0.1;1.77
Xvis03_200136;NA;not assigned-unknown;0.19;0;0;0;0;24.29
Xvis03_200137;NA;not assigned-unknown;5.95;3.37;4.27;9.45;9.83;7.75
Xvis03_200139; LON peptidase N_terminal domain and RING finger protein 1 ;protein-degradation;13.9;61.35;88.4;73.99;91.37;19.49
Xvis03_200140; Isoflavone 2'_hydroxylase ;misc-cytochrome P450;4.35;9.94;15.03;20.79;29.67;5.38
Xvis03_200141; Isoflavone 2'_hydroxylase ;misc-cytochrome P450;0.3;0.06;0.19;0.05;0.07;0.94
Xvis03_200142; Cytochrome P450 81E8 ;misc-cytochrome P450;10.42;0.81;0.38;0.81;0.5;14.07
Xvis03_200143; Metal transporter Nramp2 ;transport-metal;17.83;12.76;22.32;51.96;60.17;39.27
Xvis03_200144;NA;not assigned-unknown;1.39;0.59;0.21;0.19;0.23;3.59
Xvis03_200145; Protein TRI1 ;not assigned-unknown;10.56;34.71;38.05;20.72;18.98;26.06
Xvis03_200147; 3_oxo_Delta(4,5)_steroid 5_beta_reductase ;development-unspecified;15.87;142.01;142.19;56.38;80.52;26.64
Xvis03_200148; Probable esterase D14L ;not assigned-no ontology;41.06;48.47;53.31;52.39;43.86;56.52
Xvis03_200149; Uncharacterized protein At2g23090 ;not assigned-unknown;82.02;68.32;78.33;64.57;56.34;88.21
Xvis03_200150; Somatic embryogenesis receptor kinase 1 ;signalling-receptor kinases;64.54;70.01;36.4;10.48;16.98;34.44
Xvis03_200151;NA;not assigned-unknown;0.53;0.05;0;0.01;0;2.08
Xvis03_200152; Peroxidase 51 ;misc-peroxidases;7.43;0.66;0.47;0.68;1.54;14.22
Xvis03_200155; QWRF motif_containing protein 2 ;not assigned-unknown;0.3;0.09;0.03;0.65;0.52;1.01
Xvis03_200156; Casein kinase II subunit alpha, chloroplastic ;protein-postranslational modification;15.42;15.5;20.83;45.72;44.42;23.01
Xvis03_200159; Vacuolar_sorting receptor 4 ;protein-targeting;30.58;21.03;18.57;22.85;21.36;34.26
Xvis03_200160; Pentatricopeptide repeat_containing protein At1g25360 ;RNA-regulation of transcription;2.4;0.96;0.49;0.4;0.4;2.68
Xvis03_200161; Pentatricopeptide repeat_containing protein At1g25360 ;RNA-regulation of transcription;2.4;0.96;0.49;0.4;0.4;2.68
Xvis03_200162; Syntaxin_61 ;not assigned-unknown;12.17;8.56;8.66;10.61;11;6
Xvis03_200164; Probable strigolactone esterase D14 ;not assigned-no ontology;5.52;17.2;19.49;16.67;21.52;26.46
Xvis03_200165;NA;not assigned-unknown;9.52;10.15;9.21;8.47;5.52;15.52
Xvis03_200166; SAGA_associated factor 11 homolog ;not assigned-unknown;9.52;10.15;9.21;8.47;5.52;15.52
Xvis03_200167;NA;not assigned-unknown;9.87;11.59;18.19;17.55;20.5;21.02
Xvis03_200170; Probable polyol transporter 6 ;transport-sugars;0.28;0.1;0.23;0.12;0.1;0.22
Xvis03_200171; Chlorophyllase_2, chloroplastic ;tetrapyrrole synthesis;77.77;21.81;3.75;1.11;0.33;38.72
Xvis03_200172; Peptidyl_prolyl cis_trans isomerase CYP65 ;cell-cycle;10.01;10.33;12.25;30.8;33.47;7.96
Xvis03_200173; Protein SHORT_ROOT 1 ;development-unspecified;11.42;0.33;0.08;0.03;0;18.83
Xvis03_200174; Surfeit locus protein 1 ;mitochondrial electron transport / ATP synthesis;11.31;13.76;8.69;13.38;12.35;7.63
Xvis03_200175;NA;not assigned-unknown;10.81;12.38;8.32;12.94;11.98;6.68
Xvis03_200177; Tetratricopeptide repeat protein 7B ;signalling-calcium;1.15;0.56;0.25;0.33;0.32;1.3
Xvis03_200178; 40S ribosomal protein S3a ;protein-synthesis;18.44;89.07;62.28;50.3;49.84;35.49
Xvis03_200179; Cytochrome P450 79B1 ;not assigned-unknown;18.44;89.07;62.28;50.3;49.84;35.49
Xvis03_200180; Uncharacterized protein At5g23160 ;not assigned-unknown;0.15;0.35;0.18;0.15;0.17;0
Xvis03_200181; F_box protein At3g12350 ;protein-degradation;3.82;7.62;14.25;27.11;24.69;7.34
Xvis03_200182;NA;not assigned-unknown;11.29;10.08;9.9;22.93;25.9;5.19
Xvis03_200183; Cysteine_rich and transmembrane domain_containing protein A ;not assigned-unknown;62.23;142.51;298.64;682.43;777.37;62.94
Xvis03_200185;NA;not assigned-unknown;0;0;0.06;0;0.07;0
Xvis03_200187; Heptahelical transmembrane protein 4 ;not assigned-unknown;0.27;0.13;0.1;0.06;0.12;0.25
Xvis03_200189;NA;not assigned-no ontology;0.01;0.01;0;0;0;0.32
Xvis03_200190; Pentatricopeptide repeat_containing protein At2g01390 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;1.55;1.93;0.9;1.26;0.88;1.46
Xvis03_200191; Protein RDM1 ;not assigned-unknown;28.06;41.62;44.54;62.84;64.7;19.97
Xvis03_200192; NAC domain_containing protein 45 ;not assigned-unknown;15.49;18;17.38;32.24;28.13;8.55
Xvis03_200193; Serine/threonine_protein kinase TNNI3K ;not assigned-unknown;2.37;2.28;2.58;2.07;4.27;11.28
Xvis03_200194; Omega_amidase,chloroplastic ;amino acid metabolism-synthesis;0.56;0.37;0.13;0.31;0.14;3.65
Xvis03_200195; HVA22_like protein k ;not assigned-unknown;17.6;20.2;19.43;10.58;10.12;16.17
Xvis03_200196; Protein PIR ;cell-organisation;5.82;4.57;2.03;1.39;1.3;6.8
Xvis03_200197;NA;not assigned-unknown;2.93;0;0;0.88;2.94;1.92
Xvis03_200198; Protein PIR ;cell-organisation;5.82;4.57;2.03;1.39;1.3;6.8
Xvis03_200199; Protein PIR ;cell-organisation;6.03;2.49;1.07;0.77;1.07;3.14
Xvis03_200205; U3 small nucleolar ribonucleoprotein protein IMP3 ;protein-synthesis;8.01;18.11;18.25;20.58;21.06;6.72
Xvis03_200206; Indole_3_acetic acid_induced protein ARG7 ;hormone metabolism-auxin;0.5;0.12;0.12;0.05;0;0.24
Xvis03_200207; Next to BRCA1 gene 1 protein ;protein-degradation;92.64;85;81.58;59.66;48.67;80.44
Xvis03_200208; C2 and GRAM domain_containing protein At5g50170 ;protein-degradation;0.81;40.9;52.89;83.44;114.48;1.14
Xvis03_200209; Inorganic phosphate transporter 2_1, chloroplastic ;transport-phosphate;36.28;13.45;14.92;10.01;9.3;50.15
Xvis03_200210;NA;not assigned-no ontology;57.29;37.54;36.55;31.39;39.27;17.5
Xvis03_200213; Uncharacterized CDP_alcohol phosphatidyltransferase class_I family protein C22A12.08c ;not assigned-no ontology;1.4;1.43;1.16;2.27;1.42;0.87
Xvis03_200214;NA;not assigned-unknown;1.4;1.43;1.16;2.27;1.42;0.87
Xvis03_200215; Myosin_binding protein 3 ;not assigned-unknown;6.87;19.28;25.39;34.03;29.79;4.99
Xvis03_200216; ARM REPEAT PROTEIN INTERACTING WITH ABF2 ;not assigned-no ontology-armadillo/beta_catenin repeat family protein;0.74;0.52;0.42;0.27;0.32;0.85
Xvis03_200217; 40S ribosomal protein S21 ;protein-synthesis;45.28;149.41;132.95;46.47;74.34;57.81
Xvis03_200218; F_box protein At1g70590 ;protein-degradation;9.04;10.35;12.66;18.34;18.18;11.07
Xvis03_200219; Pre_mRNA_processing protein 40A ;not assigned-unknown;1.96;1.71;1.16;2.72;2.81;0.83
Xvis03_200220;NA;not assigned-unknown;1.33;1.36;0.72;1.65;1.99;1.01
Xvis03_200222; Cysteine proteinase 1 ;protein-degradation;47.24;74.37;64.23;144.57;149.79;64.69
Xvis03_200223; Poly(A)_specific ribonuclease PARN_like ;RNA-processing;2.71;1.6;1.54;1.63;1.62;1.56
Xvis03_200224; Poly(A)_specific ribonuclease PARN_like ;not assigned-unknown;2.71;1.6;1.54;1.63;1.62;1.56
Xvis03_200228;NA;not assigned-unknown;0.79;1.07;0.49;0.27;0.39;1.13
Xvis03_200229; Receptor like protein kinase S.2 ;signalling-receptor kinases;0.29;1.63;4.07;7.04;6.77;0.44
Xvis03_200230; Mitochondrial inner membrane protease subunit 2 ;not assigned-unknown;1.39;2.42;2.24;1.46;1.57;3.66
Xvis03_200231;NA;secondary metabolism-isoprenoids-mevalonate pathway;124.59;34.27;20.16;18.78;19.18;95.95
Xvis03_200232; Monocopper oxidase_like protein SKU5 ;cell wall-modification;6.33;1;0.5;0.15;0.06;7.18
Xvis03_200233; DNA_binding protein SMUBP_2 ;not assigned-unknown;16.9;14.18;15.54;25.83;29.8;12.94
Xvis03_200234; Rho GDP_dissociation inhibitor 1 ;signalling-G_proteins;1.34;3.9;4.89;2.75;2.13;0.42
Xvis03_200235; E3 ubiquitin_protein ligase ORTHRUS 2 ;RNA-regulation of transcription;3.56;2.05;1.08;1.36;0.93;1.13
Xvis03_200236;NA;not assigned-no ontology;0.12;0;0;0;0.15;0
Xvis03_200237; 4_coumarate__CoA ligase_like 9 ;secondary metabolism-phenylpropanoids-lignin biosynthesis;3.05;0.94;0.75;1.67;2.12;1.19
Xvis03_200238; 4_coumarate__CoA ligase_like 5 ;not assigned-unknown;3.05;0.94;0.75;1.67;2.12;1.19
Xvis03_200239; Cyclin_dependent kinase G_2 ;protein-postranslational modification;44.44;45.06;48.89;107.22;141.12;19.95
Xvis03_213812; [Fructose_bisphosphate aldolase]_lysine N_methyltransferase, chloroplastic ;RNA-regulation of transcription;3.5;5.77;0.95;1.14;0.94;1.1
Xvis03_200241; Probable inactive receptor kinase At1g27190 ;signalling-receptor kinases;11.62;5.24;6.51;7.24;6.2;16.15
Xvis03_200243; Uncharacterized membrane protein YuiD ;not assigned-unknown;7.55;5.82;6.37;4.33;5.8;11.3
Xvis03_200244; Retrotransposon_derived protein PEG10 ;not assigned-unknown;3.36;1.67;1.19;1.35;0.82;3.82
Xvis03_200245;NA;DNA-synthesis/chromatin structure;3.36;1.67;1.19;1.35;0.82;3.82
Xvis03_200246; Syntaxin_32 ;cell-vesicle transport;9.6;9.25;7.69;5.92;5.3;13.51
Xvis03_200247;NA;not assigned-unknown;2.45;2.73;1.54;1.75;0.91;1.38
Xvis03_200248; Pentatricopeptide repeat_containing protein At1g56690, mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;2.45;2.73;1.54;1.75;0.91;1.38
Xvis03_200249;NA;RNA-regulation of transcription;7.09;16.43;23.76;6.21;4.1;11.29
Xvis03_200250;NA;stress-abiotic;98.97;278.05;278.07;319.6;269;116.77
Xvis03_200251; Glyceraldehyde_3_phosphate dehydrogenase 2, cytosolic ;glycolysis-cytosolic branch;34.28;38.83;30.83;33.04;27.33;17.96
Xvis03_200252; Pesticidal crystal protein Cry1Ac ;defense;0.2;0.46;0.33;0.19;1.42;3.39
Xvis03_200253; Trihelix transcription factor GT_4 ;RNA-regulation of transcription;2.63;1.95;2.21;1.71;1.21;4.24
Xvis03_200255; Probable transcription factor PosF21 ;RNA-regulation of transcription;5.23;6.38;4.56;3.46;2.17;8.56
Xvis03_200256; Flowering time control protein FPA ;RNA-RNA binding;21.75;19.1;17.95;27.7;22.69;22.65
Xvis03_200257; Glycine_rich protein 3 short isoform ;not assigned-unknown;0.02;0.13;0;0.06;0;0.09
Xvis03_200258; PHD finger protein At3g20280 ;RNA-regulation of transcription;4.36;1.89;1.77;3.49;2.47;5.34
Xvis03_200259; 5'_3' exoribonuclease 2 homolog ;not assigned-unknown;4.36;1.89;1.77;3.49;2.47;5.34
Xvis03_200260; 65_kDa microtubule_associated protein 1 ;cell-organisation;0.6;0.08;0.02;0.03;0;5.32
Xvis03_200261; Protein GrpE ;protein-folding;28.93;45.58;60.95;81.86;78.92;27.96
Xvis03_200262;NA;not assigned-unknown;1.98;0.37;0.34;0.2;0.24;2
Xvis03_200263; Disease resistance protein RPM1 ;stress-biotic;1.98;0.37;0.34;0.2;0.24;2
Xvis03_200264; Putative disease resistance protein At3g14460 ;stress-biotic;4.14;3.21;1.77;3;2.54;2.98
Xvis03_200265; Probable mitochondrial chaperone BCS1_B ;protein-degradation;13.63;35.58;52.35;96.28;110.55;22.47
Xvis03_200266; Probable mitochondrial chaperone BCS1_B ;protein-degradation;0.35;0.57;0.03;0.04;0.14;2.96
Xvis03_200267;NA;protein-degradation;5.2;4.07;3.92;4.86;5.26;4.78
Xvis03_200271; Protein ASPARTIC PROTEASE IN GUARD CELL 1 ;RNA-regulation of transcription;137.32;138.81;71.16;11.21;7.18;703.01
Xvis03_200272;NA;not assigned-unknown;10.97;6.32;5.22;2.83;2.52;8.95
Xvis03_200273; Puff II/9_1 protein ;not assigned-unknown;0.98;0.68;0.42;0.86;0.68;0.59
Xvis03_200274; Phosphatidylinositol/phosphatidylcholine transfer protein SFH13 ;DNA-unspecified;2.48;8.45;15.6;16.03;22.33;3.48
Xvis03_200275; Protein FATTY ACID EXPORT 1, chloroplastic ;not assigned-unknown;0.48;0.2;0.07;0.1;0;0.71
Xvis03_200276; BURP domain_containing protein 3 ;stress-abiotic;134.82;28.46;2.22;0.03;0.61;0.07
Xvis03_200277;NA;not assigned-unknown;56.44;36.56;31.09;67.21;37.41;63.76
Xvis03_200278;NA;RNA-RNA binding;56.44;36.56;31.09;67.21;37.41;63.76
